base,stf,map,serm,mha,garg,min,max,texto
28.7,28.7,31.0,33.0,23.9,27.6,0.0,4.8,0\%--4.8\%
11.4,9.0,3.0,2.0,0.0,1.5,2.4,11.4,2.4\%--11.4\%
15.6,13.2,14.4,8.3,3.1,14.8,0.8,12.5,0.8\%--12.5\%
32.3,22.8,24.2,18.0,12.9,20.8,8.1,19.4,8.1\%--19.4\%
9.7,3.6,6.9,3.2,1.1,4.5,2.8,8.6,2.8\%--8.6\%
15.0,13.1,8.2,11.9,12.5,11.9,1.9,6.8,1.9\%--6.8\%
51.7,54.2,49.9,50.4,48.1,50.9,0.0,3.6,0\%--3.6\%
40.8,41.3,41.5,41.1,34.9,41.3,0.0,5.9,0\%--5.9\%
69.1,62.7,58.3,59.3,59.6,58.4,6.4,10.8,6.4\%--10.8\%
36.0,37.4,37.4,36.9,36.2,37.6,0.0,0.0,0\%--0\%
30.1,31.0,32.3,32.2,25.8,28.6,0.0,4.3,0\%--4.3\%
15.9,13.5,5.2,3.2,0.0,2.8,2.4,15.9,2.4\%--15.9\%
9.3,10.9,14.7,9.8,2.1,17.7,0.0,7.2,0\%--7.2\%
37.5,28.8,30.0,22.6,15.8,22.9,7.5,21.7,7.5\%--21.7\%
13.7,6.4,10.9,5.4,2.1,7.1,2.8,11.6,2.8\%--11.6\%
11.3,9.2,8.5,10.3,9.2,10.3,1.0,2.8,1.0\%--2.8\%
